,ownershiptype,systemcoveragelevelwarrantyc,installdate,ageagainstinstallation,deinstalldate,avgreplacementage,expectedreplacementdate,transferacceptancedate,shippeddate,warrantystartdate,warrantyenddate,contractstartdate,contractenddate,typ,contract_line_status,contract_length_days,contract_start_date,contract_end_date,contractcanceldate,last_covered_date,contract_length_months,dummy_sysid
21917,Lease,Contract,2014-12-21,6.78,,4.0,DEC-23-2018,DEC-22-2014,DEC-09-2014,,,DEC-22-2015,SEP-30-2016,CONTRACTS,Expired,284.0,17:08.0,17:08.0,,21-12-2022 18:00,9.32258,sys196
48671,Purchase,Contract,2014-12-21,6.78,,4.0,DEC-23-2018,DEC-26-2014,DEC-15-2014,,,SEP-01-2018,AUG-31-2023,CONTRACTS,,,17:08.0,00:00.0,,31-08-2023 17:00,,sys157
40238,Lease,Contract,2014-12-23,6.77,,3.97,DEC-13-2018,,DEC-20-2014,,,,,COMPONENT,,,,,,23-12-2021 00:00,,sys1128
99192,Lease,Contract,2014-12-23,6.77,,3.97,DEC-13-2018,,DEC-20-2014,,,JAN-01-2016,DEC-31-2020,CONTRACTS,Expired,1827.0,,,,31-12-2021 00:00,60.0,sys1428
162276,,Contract,2014-12-23,6.77,,4.01,DEC-28-2018,DEC-24-2014,,,,,,WARRANTY,,,,,,31-05-2022 00:00,,sys2532
26340,Purchased,Contract,2014-12-23,6.77,,3.97,DEC-13-2018,DEC-23-2014,DEC-23-2014,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys697
142490,,Contract,2014-12-24,6.77,,3.97,DEC-14-2018,,DEC-20-2014,,,,,COMPONENT,,,,,,31-05-2023 00:00,,sys1255
92875,,Contract,2014-12-25,6.76,,4.37,MAY-10-2019,DEC-29-2014,OCT-30-2014,,,DEC-19-2017,DEC-18-2018,CONTRACTS,Active,365.0,,,,18-07-2022 00:00,12.0,sys673
154905,,Contract,2014-12-29,6.75,,4.0,DEC-31-2018,DEC-29-2014,,,,,,COMPONENT,,,,,,23-12-2021 00:00,,sys1862
137728,,Contract,2014-12-30,6.75,,4.37,MAY-15-2019,DEC-31-2014,,,,AUG-14-2019,AUG-14-2019,CONTRACTS,Active,1.0,00:00.0,00:00.0,,26-10-2021 00:00,0.03225,sys1774
16029,Purchase,Contract,2014-12-30,6.75,,0.45,JUN-14-2015,DEC-15-2014,SEP-13-2014,,,,,COMPONENT,,,,,,31-10-2023 05:00,,sys168
15708,,HBS,2014-12-31,6.75,,3.97,DEC-21-2018,,,,,JAN-01-2018,DEC-31-2018,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2019 00:00,12.0,sys2203
95461,,Contract,2014-12-31,6.75,,4.12,FEB-12-2019,,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1531
67767,,Contract,2014-12-31,6.75,,4.37,MAY-16-2019,DEC-31-2014,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1864
89614,,,2015-01-01,6.75,,4.0,JAN-03-2019,SEP-19-2015,,,,,,COMPONENT,,,,,,,,sys2255
25978,Purchase,Contract,2015-01-07,6.73,,4.0,JAN-09-2019,JAN-26-2015,DEC-25-2014,,,OCT-21-2018,MAY-31-2025,CONTRACTS,Active,2415.0,17:08.0,00:00.0,,31-05-2025 05:00,79.35483,sys374
34914,Purchase,HBS,2015-01-08,6.73,,0.71,SEP-27-2015,JAN-05-2015,DEC-20-2014,,,,,COMPONENT,,,,,,,,sys1780
161847,,Contract,2015-01-09,6.72,,4.37,MAY-25-2019,MAR-16-2015,,,,MAR-28-2016,MAR-27-2017,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2021 00:00,12.0,sys1847
121855,,HBS,2015-01-10,6.72,,4.37,MAY-26-2019,DEC-16-2014,,,,,,COMPONENT,,,,,,9/1/2017 0:00,,sys2313
65864,,Contract,2015-01-11,6.72,,4.37,MAY-27-2019,SEP-28-2015,,,,JAN-01-2018,DEC-31-2018,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2021 00:00,12.0,sys2088
11783,,Contract,2015-01-13,6.71,,1.44,JUN-24-2016,,JAN-13-2015,,,AUG-20-2021,AUG-19-2022,CONTRACTS,Accepted,365.0,,,,19-08-2022 00:00,12.0,sys2508
118980,,Contract,2015-01-13,6.71,,8.94,DEC-23-2023,FEB-27-2015,DEC-23-2014,,,JUN-01-2021,MAY-31-2022,CONTRACTS,Accepted,365.0,,,,31-05-2022 00:00,12.0,sys1206
114228,,Contract,2015-01-13,6.71,,2.24,APR-13-2017,MAR-19-2015,NOV-28-2014,,,,,COMPONENT,,,,,,31-12-2024 00:00,,sys605
43497,,Contract,2015-01-14,6.71,,4.37,MAY-30-2019,APR-27-2015,,,,JAN-01-2025,DEC-31-2025,CONTRACTS,Active~Proposed,365.0,00:00.0,00:00.0,,31-12-2021 00:00,12.0,sys1448
160254,Lease,Contract,2015-01-16,6.7,,1.27,APR-24-2016,DEC-23-2014,NOV-18-2014,,,FEB-03-2016,JUN-30-2026,CONTRACTS,,,00:00.0,00:00.0,,30-06-2026 17:00,,sys603
132322,,HBS,2015-01-17,6.7,,5.69,SEP-25-2020,MAR-29-2015,,JAN-17-2015,JAN-16-2016,,,WARRANTY,,,,,,,,sys2397
26801,,Contract,2015-01-18,6.7,,3.97,JAN-08-2019,MAR-02-2015,,,,,,COMPONENT,,,,,,17-01-2022 00:00,,sys1866
36123,,Contract,2015-01-19,6.7,,3.97,JAN-09-2019,FEB-27-2015,DEC-30-2014,,,,,COMPONENT,,,,,,31-12-2023 00:00,,sys1002
28606,,Contract,2015-01-21,6.69,,2.74,OCT-19-2017,,JAN-21-2015,,,AUG-20-2021,AUG-19-2022,CONTRACTS,Accepted,365.0,,,,19-08-2022 00:00,12.0,sys2593
121713,,Contract,2015-01-21,6.69,,3.97,JAN-11-2019,,JAN-21-2015,,,JUL-01-2019,JUN-30-2021,CONTRACTS,Expired,731.0,,,,30-06-2022 00:00,24.0,sys2542
49802,Purchased,Contract,2015-01-21,6.69,,2.24,APR-21-2017,MAR-25-2015,JAN-21-2015,,,JUL-01-2019,JUL-01-2019,CONTRACTS,Contract - Active,1.0,,,,31-12-2021 00:00,0.03225,sys693
67572,,Contract,2015-01-31,6.66,,2.24,MAY-01-2017,DEC-31-2014,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1617
132920,Purchase,HBS,2015-02-02,6.66,,4.0,FEB-04-2019,JAN-16-2015,JAN-01-2015,FEB-07-2015,FEB-07-2016,,,WARRANTY,,,,,,,,sys2099
28119,,Contract,2015-02-02,6.66,,4.0,FEB-04-2019,MAR-20-2015,,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys1471
93697,,Contract,2015-02-03,6.66,,3.97,JAN-24-2019,,JAN-30-2015,,,,,COMPONENT,,,,,,28-02-2022 00:00,,sys520
108353,,Contract,2015-02-09,6.64,,4.0,FEB-11-2019,FEB-18-2015,,,,,,COMPONENT,,,,,,6/12/2021 0:00,,sys1726
153097,Purchase,Contract,2015-02-09,6.64,,4.37,JUN-25-2019,MAR-04-2015,JAN-28-2015,,,OCT-01-2016,NOV-30-2023,CONTRACTS,Active,2617.0,15:00.0,00:00.0,,30-11-2023 06:00,86.0,sys238
27211,,Contract,2015-02-10,6.64,,3.97,JAN-31-2019,,FEB-07-2015,,,,,COMPONENT,,,,,,29-02-2024 00:00,,sys1359
128601,,Contract,2015-02-16,6.62,,3.97,FEB-06-2019,,FEB-16-2015,,,DEC-01-2019,NOV-30-2020,CONTRACTS,Expired,366.0,,,,31-12-2021 00:00,12.0,sys2498
145337,,Contract,2015-02-18,6.61,,4.37,JUL-04-2019,MAR-26-2015,JAN-22-2015,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys719
84793,Lease,Contract,2015-02-18,6.61,,4.37,JUL-04-2019,MAR-13-2015,FEB-11-2015,,,FEB-29-2016,JUN-30-2026,CONTRACTS,,,00:00.0,00:00.0,,30-06-2026 17:00,,sys408
85665,,Contract,2015-02-18,6.61,,4.37,JUL-04-2019,FEB-26-2015,,,,FEB-18-2021,FEB-17-2022,CONTRACTS,Active,365.0,00:00.0,00:00.0,,17-02-2025 00:00,12.0,sys1526
134141,,Contract,2015-02-19,6.61,,4.0,FEB-21-2019,FEB-21-2015,,,,JAN-01-2019,DEC-31-2019,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2022 00:00,12.0,sys1672
119152,,Contract,2015-02-20,6.61,,4.37,JUL-06-2019,MAR-30-2015,,,,,,COMPONENT,,,,,,6/6/2022 0:00,,sys1704
113592,,HBS,2015-02-21,6.61,,1.95,FEB-05-2017,,,,,JAN-01-2018,NOV-29-2018,CONTRACTS,Active,333.0,00:00.0,00:00.0,,29-11-2018 00:00,10.93548,sys2097
94132,,Contract,2015-02-24,6.6,,3.97,FEB-14-2019,,,,,,,COMPONENT,,,,,,31-12-2022 00:00,,sys1943
155465,,HBS,2015-02-25,6.6,,0.61,OCT-09-2015,,,,,,,CONTRACTS,,,,,,,,sys2169
66012,,Contract,2015-02-27,6.59,,4.37,JUL-13-2019,MAR-03-2015,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys2031
4385,Purchase,Contract,2015-02-28,6.59,,4.0,MAR-02-2019,MAR-24-2015,FEB-20-2015,,,APR-01-2016,APR-30-2018,CONTRACTS,Terminated,760.0,17:08.0,00:00.0,00:00.0,30-04-2025 05:00,25.0,sys92
16890,Purchase,Contract,2015-03-02,6.58,,1.44,AUG-11-2016,JUN-01-2015,FEB-18-2015,,,NOV-01-2020,OCT-31-2021,CONTRACTS,Active,365.0,17:08.0,17:08.0,,31-10-2021 17:00,12.0,sys68
82171,,Contract,2015-03-03,6.58,,0.61,OCT-15-2015,,,,,,,COMPONENT,,,,,,25-10-2021 00:00,,sys2069
106824,Purchase,Contract,2015-03-03,6.58,,2.24,JUN-01-2017,MAR-03-2015,FEB-19-2015,,,MAY-16-2018,MAY-30-2028,CONTRACTS,,,17:08.0,00:00.0,,30-05-2028 17:00,,sys256
156257,,Contract,2015-03-05,6.57,,4.37,JUL-19-2019,MAY-08-2015,,,,MAR-05-2019,FEB-29-2020,CONTRACTS,Active,362.0,00:00.0,00:00.0,,13-01-2026 00:00,11.87096,sys1528
56784,,Contract,2015-03-06,6.57,,3.97,FEB-24-2019,,MAR-01-2015,,,,,COMPONENT,,,,,,31-03-2024 00:00,,sys1068
24099,,Contract,2015-03-08,6.56,,4.37,JUL-22-2019,MAR-25-2015,FEB-05-2015,,,,,COMPONENT,,,,,,22-03-2022 00:00,,sys832
33973,Purchase,Contract,2015-03-10,6.56,,4.37,JUL-24-2019,FEB-12-2015,AUG-09-2014,,,MAR-15-2016,MAR-16-2016,CONTRACTS,Terminated,2.0,17:08.0,00:00.0,00:00.0,31-03-2022 11:00,0.06451,sys148
65872,,Contract,2015-03-11,6.56,,4.0,MAR-13-2019,DEC-31-2014,,,,MAY-25-2019,NOV-24-2019,CONTRACTS,Active,184.0,00:00.0,00:00.0,,15-04-2022 00:00,6.0,sys1783
132057,Purchase,Contract,2015-03-13,6.55,,3.97,MAR-03-2019,MAR-24-2015,FEB-24-2015,,,JUN-04-2016,OCT-15-2018,CONTRACTS,,,17:08.0,00:00.0,,31-10-2023 05:00,,sys156
92193,,Contract,2015-03-16,6.54,,3.97,MAR-06-2019,,MAR-07-2015,,,APR-01-2016,MAR-31-2021,CONTRACTS,Expired,1826.0,,,,31-03-2022 00:00,60.0,sys1200
148014,Purchase,Contract,2015-03-17,6.54,,1.27,JUN-23-2016,MAR-27-2015,MAR-07-2015,,,MAR-21-2016,JUN-30-2026,CONTRACTS,Active,3754.0,00:00.0,00:00.0,,30-06-2026 17:00,123.35483,sys416
10614,Purchased,HBS,2015-03-17,6.54,,2.24,JUN-15-2017,MAR-17-2015,JAN-01-2015,,,,,COMPONENT,,,,,,16-03-2017 00:00,,sys1160
117689,,Contract,2015-03-17,6.54,,3.97,MAR-07-2019,,MAR-14-2015,,,,,COMPONENT,,,,,,31-03-2025 00:00,,sys1149
126723,,Contract,2015-03-18,6.54,,4.0,MAR-20-2019,DEC-31-2014,,,,,,COMPONENT,,,,,,23-03-2022 00:00,,sys1902
3655,Purchase,HBS,2015-03-19,6.53,,3.97,MAR-09-2019,MAR-26-2015,FEB-20-2015,,,AUG-24-2018,MAR-24-2021,CONTRACTS,Expired,944.0,17:08.0,00:00.0,,24-03-2021 05:00,31.03225,sys55
89019,,HBS,2015-03-20,6.53,,4.37,AUG-03-2019,MAR-30-2015,,,,MAR-20-2016,MAR-19-2017,CONTRACTS,Active,365.0,00:00.0,00:00.0,,19-03-2017 00:00,12.0,sys2276
27143,,Contract,2015-03-20,6.53,,3.97,MAR-10-2019,,MAR-16-2015,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys1045
12121,Purchase,Contract,2015-03-23,6.52,,1.27,JUN-29-2016,APR-15-2015,MAR-14-2015,,,MAY-01-2018,APR-30-2025,CONTRACTS,Active,2557.0,17:08.0,00:00.0,,30-04-2025 05:00,84.0,sys274
19392,Lease,Contract,2015-03-24,6.52,,4.37,AUG-07-2019,MAR-25-2015,MAR-10-2015,,,SEP-15-2021,SEP-14-2026,CONTRACTS,Active,1826.0,17:08.0,17:08.0,,14-09-2026 17:00,60.0,sys171
160937,Lease,Contract,2015-03-25,6.52,,3.97,MAR-15-2019,,MAR-21-2015,,,MAR-27-2016,MAR-26-2023,CONTRACTS,Accepted,2556.0,,,,26-03-2023 00:00,84.0,sys1233
2036,Purchase,Contract,2015-03-25,6.52,,4.0,MAR-27-2019,MAR-25-2015,FEB-24-2015,,,MAY-01-2016,OCT-15-2017,CONTRACTS,Terminated,533.0,15:00.0,00:00.0,00:00.0,31-10-2028 17:00,17.48387,sys6
5271,Purchse,Contract,2015-03-25,6.52,,4.0,MAR-27-2019,JAN-22-2015,DEC-19-2014,,,MAR-30-2016,MAR-31-2016,CONTRACTS,Terminated,2.0,00:00.0,00:00.0,00:00.0,31-12-2025 18:00,0.06451,sys22
134769,,Contract,2015-03-26,6.52,,4.0,MAR-28-2019,MAR-30-2015,,,,MAY-15-2017,MAY-31-2017,CONTRACTS,Active,17.0,00:00.0,00:00.0,,30-11-2021 00:00,0.54838,sys1859
161500,,Contract,2015-03-26,6.52,,3.97,MAR-16-2019,MAR-26-2015,,,,JAN-01-2021,DEC-31-2021,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2022 00:00,12.0,sys1920
147247,,Contract,2015-03-26,6.52,,4.0,MAR-28-2019,MAR-30-2015,,,,JAN-01-2021,NOV-30-2021,CONTRACTS,Active,334.0,00:00.0,00:00.0,,30-11-2021 00:00,11.0,sys1802
163103,,Contract,2015-03-26,6.52,,4.37,AUG-09-2019,MAR-31-2015,,,,MAR-26-2021,MAR-25-2022,CONTRACTS,Active,365.0,00:00.0,00:00.0,,25-03-2024 00:00,12.0,sys1746
90267,Purchase,Contract,2015-03-26,6.52,,2.24,JUN-24-2017,FEB-26-2015,JAN-13-2015,,,MAR-31-2016,JUN-30-2026,CONTRACTS,Active,3744.0,00:00.0,00:00.0,,30-06-2026 17:00,123.03225,sys620
25767,Purchase,Contract,2015-03-26,6.52,,2.24,JUN-24-2017,MAR-30-2015,MAR-16-2015,,,DEC-01-2018,APR-14-2020,CONTRACTS,Terminated,501.0,17:08.0,00:00.0,00:00.0,29-02-2024 18:00,16.451610000000002,sys21
143629,,Contract,2015-03-28,6.51,,4.0,MAR-30-2019,MAR-30-2015,,,,,,COMPONENT,,,,,,30-04-2024 00:00,,sys1375
122375,,Contract,2015-03-30,6.5,,4.37,AUG-13-2019,MAR-31-2015,,,,,,COMPONENT,,,,,,3/11/2021 0:00,,sys1967
12697,Lease,Contract,2015-03-30,6.5,,2.24,JUN-28-2017,MAY-28-2015,MAR-09-2015,,,JUN-08-2016,JUN-30-2026,CONTRACTS,Active,3675.0,00:00.0,00:00.0,,30-06-2026 17:00,120.77418999999999,sys581
24655,Lease,Contract,2015-03-30,6.5,,2.66,NOV-28-2017,MAR-31-2015,MAR-11-2015,,,JAN-01-2017,OCT-31-2023,CONTRACTS,Active,2495.0,15:00.0,00:00.0,,31-10-2023 17:00,82.0,sys111
19102,,Contract,2015-03-30,6.5,,4.37,AUG-13-2019,MAR-30-2015,,,,,,COMPONENT,,,,,,30-06-2022 00:00,,sys1653
83399,Purchase,Contract,2015-03-30,6.5,,4.0,APR-01-2019,MAR-30-2015,MAR-13-2015,,,MAY-12-2017,AUG-31-2018,CONTRACTS,Terminated,477.0,17:08.0,00:00.0,00:00.0,31-08-2025 17:00,15.64516,sys3
163452,Purchased,HBS,2015-03-31,6.5,,2.24,JUN-29-2017,MAR-31-2015,JAN-01-2015,,,,,COMPONENT,,,,,,30-03-2017 00:00,,sys2142
89515,Purchased,Contract,2015-03-31,6.5,,2.24,JUN-29-2017,MAR-31-2015,MAR-31-2015,MAR-31-2015,MAR-30-2016,,,WARRANTY,,,,,,30-09-2021 00:00,,sys936
135130,Purchased,Contract,2015-03-31,6.5,,2.24,JUN-29-2017,,JAN-01-2014,,,,,COMPONENT,,,,,,31-07-2022 00:00,,sys749
20590,Lease,Contract,2015-04-01,6.5,,4.0,APR-03-2019,MAR-31-2015,MAR-18-2015,,,APR-06-2016,OCT-31-2016,CONTRACTS,Terminated,209.0,17:08.0,00:00.0,00:00.0,16-08-2027 17:00,6.8387,sys62
158215,,HBS,2015-04-04,6.49,,0.71,DEC-22-2015,,APR-04-2015,,,,,CONTRACTS,,,,,,,,sys2797
16855,,HBS,2015-04-08,6.48,,0.61,NOV-20-2015,,,,,AUG-06-2018,AUG-05-2019,CONTRACTS,Active,365.0,00:00.0,00:00.0,,30-06-2021 00:00,12.0,sys1954
16160,,Contract,2015-04-09,6.48,,3.97,MAR-30-2019,,APR-05-2015,,,,,COMPONENT,,,,,,30-06-2024 00:00,,sys1142
156148,,Contract,2015-04-10,6.47,,2.24,JUL-09-2017,,,,,,,COMPONENT,,,,,,23-10-2022 00:00,,sys1873
133098,,Contract,2015-04-17,6.46,,2.24,JUL-16-2017,APR-23-2015,,,,APR-16-2021,APR-15-2022,CONTRACTS,Active,365.0,00:00.0,00:00.0,,15-04-2022 00:00,12.0,sys2086
30738,,Contract,2015-04-17,6.46,,4.0,APR-19-2019,APR-17-2015,,,,,,COMPONENT,,,,,,16-04-2022 00:00,,sys1667
71542,,Contract,2015-04-20,6.45,,4.0,APR-22-2019,APR-30-2015,,,,,,COMPONENT,,,,,,2/4/2022 0:00,,sys1868
46306,,HBS,2015-04-22,6.44,,2.24,JUL-21-2017,SEP-01-2015,,,,,,COMPONENT,,,,,,,,sys2279
16468,Purchase,Contract,2015-04-24,6.44,,3.97,APR-14-2019,APR-28-2015,APR-09-2015,,,OCT-01-2019,APR-24-2024,CONTRACTS,Active,1668.0,17:08.0,17:08.0,,24-04-2024 17:00,54.774190000000004,sys269
112710,,Contract,2015-04-28,6.43,,3.97,APR-18-2019,,,,,,,COMPONENT,,,,,,30-04-2022 00:00,,sys1205
151829,,Contract,2015-04-29,6.42,,3.97,APR-19-2019,,APR-25-2015,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys893
67076,,Contract,2015-04-30,6.42,,4.37,SEP-13-2019,MAR-31-2015,,,,,,COMPONENT,,,,,,14-07-2023 00:00,,sys2014
114092,,HBS,2015-05-01,6.42,,1.97,APR-21-2017,,,,,,,COMPONENT,,,,,,30-04-2020 00:00,,sys2093
59982,Lease,Contract,2015-05-04,6.41,,4.0,MAY-06-2019,MAY-21-2015,MAR-20-2015,,,FEB-08-2019,FEB-11-2020,CONTRACTS,Terminated,369.0,00:00.0,00:00.0,00:00.0,30-06-2026 17:00,12.12903,sys314
151374,,HBS,2015-05-06,6.4,,4.38,SEP-23-2019,NOV-27-2015,,,,,,COMPONENT,,,,,,,,sys2114
159709,,HBS,2015-05-06,6.4,,4.38,SEP-23-2019,NOV-27-2015,,,,,,COMPONENT,,,,,,,,sys2127
148919,,Contract,2015-05-08,6.4,,3.97,APR-28-2019,,MAY-04-2015,,,APR-01-2021,MAR-31-2022,CONTRACTS,Accepted,365.0,,,,31-03-2022 00:00,12.0,sys1099
14383,Purchased,Contract,2015-05-13,6.38,,2.24,AUG-11-2017,MAY-13-2015,JAN-01-2015,,,,,COMPONENT,,,,,,31-03-2024 00:00,,sys728
59362,Lease,Contract,2015-05-15,6.38,,4.37,SEP-28-2019,JUN-12-2015,MAY-06-2015,,,MAY-20-2016,JUN-30-2026,CONTRACTS,Active,3694.0,00:00.0,00:00.0,,30-06-2026 17:00,121.38708999999999,sys566
132881,,HBS,2015-05-20,6.36,,4.0,MAY-22-2019,MAY-20-2016,,,,,,WARRANTY,,,,,,30-09-2017 00:00,,sys2103
155617,Purchased,Contract,2015-05-20,6.36,,2.24,AUG-18-2017,JUN-19-2015,MAY-27-2015,,,APR-01-2019,APR-01-2019,CONTRACTS,Contract - Active,1.0,,,00:00.0,31-03-2022 00:00,0.03225,sys1512
113598,,Contract,2015-05-20,6.36,,3.97,MAY-10-2019,,,,,JAN-01-2021,DEC-31-2021,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2021 00:00,12.0,sys2145
113696,Lease,Contract,2015-05-20,6.36,,4.37,OCT-03-2019,JUN-25-2015,APR-16-2015,,,JAN-01-2017,SEP-30-2020,CONTRACTS,Terminated,1369.0,15:00.0,00:00.0,00:00.0,30-06-2027 17:00,45.0,sys182
24562,Purchase,Contract,2015-05-20,6.36,,4.0,MAY-22-2019,DEC-09-2014,DEC-08-2014,,,MAY-25-2016,MAY-24-2021,CONTRACTS,Expired,1826.0,17:08.0,00:00.0,,31-07-2022 17:00,60.0,sys109
36740,Purchase,Contract,2015-05-23,6.36,,1.27,AUG-29-2016,JUN-30-2015,JAN-28-2015,,,JUN-01-2016,JUN-30-2026,CONTRACTS,Active,3682.0,00:00.0,00:00.0,,30-06-2026 17:00,121.0,sys394
126729,,Contract,2015-05-25,6.35,,2.24,AUG-23-2017,JUN-21-2015,,,,,,COMPONENT,,,,,,9/8/2024 0:00,,sys1637
103400,,Contract,2015-05-26,6.35,,3.97,MAY-16-2019,,MAY-20-2015,,,JUL-01-2016,JUN-30-2018,CONTRACTS,Expired,730.0,,,,30-06-2022 00:00,24.0,sys1328
77085,,Contract,2015-05-26,6.35,,3.77,MAR-03-2019,AUG-21-2015,MAR-31-2015,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys942
32406,Purchase,Contract,2015-05-27,6.35,,2.66,JAN-25-2018,MAY-28-2015,MAY-18-2015,,,JAN-01-2017,OCT-31-2023,CONTRACTS,,,15:00.0,00:00.0,,31-10-2023 17:00,,sys44
153194,,Contract,2015-05-28,6.34,,4.0,MAY-30-2019,,,,,JUN-15-2020,JUN-14-2021,CONTRACTS,Active,365.0,00:00.0,00:00.0,,14-04-2023 00:00,12.0,sys1893
87843,,HBS,2015-05-29,6.34,,4.05,JUN-17-2019,JUN-19-2015,MAR-12-2015,MAY-30-2015,MAY-28-2016,,,WARRANTY,,,,,,,,sys2838
90331,,Contract,2015-05-31,6.33,,4.0,JUN-02-2019,JUN-01-2015,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys2024
108375,,HBS,2015-06-02,6.33,,2.24,AUG-31-2017,SEP-30-2016,,,,,,COMPONENT,,,,,,7/5/2019 0:00,,sys2304
110049,Lease,Contract,2015-06-04,6.32,,4.0,JUN-06-2019,JUN-04-2015,MAY-28-2015,,,MAY-28-2015,JUN-01-2016,CONTRACTS,Expired,371.0,15:00.0,00:00.0,,1/3/2024 18:00,12.16129,sys20
62021,Lease,Contract,2015-06-05,6.32,,4.0,JUN-07-2019,JUN-27-2015,MAY-28-2015,,,NOV-01-2020,OCT-31-2023,CONTRACTS,Active,1095.0,15:00.0,00:00.0,,31-10-2023 17:00,36.0,sys105
5225,Purchase,Contract,2015-06-09,6.31,,2.66,FEB-07-2018,JUN-19-2015,JUN-01-2015,,,JAN-01-2017,DEC-31-2019,CONTRACTS,,,15:00.0,00:00.0,,31-10-2023 17:00,,sys78
158730,,Contract,2015-06-11,6.3,,4.37,OCT-25-2019,,,,,JAN-01-2021,DEC-31-2021,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2022 00:00,12.0,sys1664
71186,,Contract,2015-06-11,6.3,,4.37,OCT-25-2019,JUN-30-2015,APR-29-2015,,,,,COMPONENT,,,,,,30-06-2022 00:00,,sys864
107532,,HBS,2015-06-15,6.29,,4.0,JUN-17-2019,AUG-06-2015,,,,OCT-01-2016,MAR-31-2017,CONTRACTS,Active,182.0,00:00.0,00:00.0,,31-03-2018 00:00,6.0,sys2249
50651,,Contract,2015-06-15,6.29,,4.37,OCT-29-2019,MAY-08-2015,,,,,,COMPONENT,,,,,,13-01-2026 00:00,,sys1518
87900,,Contract,2015-06-15,6.29,,2.24,SEP-13-2017,,,,,,,COMPONENT,,,,,,8/2/2024 0:00,,sys1890
92392,Purchase,Contract,2015-06-17,6.29,,4.0,JUN-19-2019,JUN-18-2015,JUN-03-2015,,,JUN-22-2016,SEP-30-2019,CONTRACTS,Terminated,1196.0,17:08.0,00:00.0,00:00.0,31-01-2024 18:00,39.32258,sys127
135677,Purchased,Contract,2015-06-18,6.29,,2.24,SEP-16-2017,JUN-30-2015,JAN-01-2015,JUN-18-2015,JUN-16-2016,,,WARRANTY,,,,,,31-12-2021 00:00,,sys674
162278,,HBS,2015-06-19,6.28,,0.45,DEC-02-2015,JUN-26-2015,MAY-18-2015,,,,,CONTRACTS,,,,,,4/6/2021 0:00,,sys2005
129332,,HBS,2015-06-19,6.28,,2.24,SEP-17-2017,,,,,,,COMPONENT,,,,,,,,sys2226
139989,,Contract,2015-06-22,6.27,,3.97,JUN-12-2019,AUG-24-2015,,,,JAN-01-2021,DEC-31-2021,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2022 00:00,12.0,sys1919
24052,Purchase,Contract,2015-06-22,6.27,,4.37,NOV-05-2019,JUN-24-2015,JUN-05-2015,,,,,COMPONENT,,,,,,31-05-2023 05:00,,sys230
98959,,Contract,2015-06-23,6.27,,3.97,JUN-13-2019,,,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys1054
49296,,HBS,2015-06-23,6.27,,4.0,JUN-25-2019,,,,,,,WARRANTY,,,,,,,,sys2388
111906,,Contract,2015-06-24,6.27,,4.37,NOV-07-2019,JUN-24-2015,,,,,,COMPONENT,,,,,,30-06-2022 00:00,,sys1972
99585,,Contract,2015-06-24,6.27,,4.37,NOV-07-2019,JUN-26-2015,MAY-22-2015,,,JUN-22-2019,JUN-21-2020,CONTRACTS,Active,366.0,,,,21-06-2022 00:00,12.0,sys1517
26668,Purchase,Contract,2015-06-24,6.27,,4.0,JUN-26-2019,JUN-18-2015,JUN-02-2015,,,,,COMPONENT,,,,,,30-09-2025 17:00,,sys33
55349,,Contract,2015-06-25,6.27,,4.05,JUL-14-2019,DEC-29-2016,MAY-07-2015,,,,,COMPONENT,,,,,,30-11-2021 00:00,,sys821
15845,Purchase,Contract,2015-06-25,6.27,,4.0,JUN-27-2019,JUN-25-2015,JUN-24-2015,,,DEC-29-2016,JUN-30-2017,CONTRACTS,Terminated,184.0,00:00.0,00:00.0,00:00.0,31-12-2025 18:00,6.096769999999999,sys18
20694,,HBS,2015-06-26,6.26,,5.3,OCT-15-2020,,,,,MAY-31-2018,AUG-31-2018,CONTRACTS,Active,93.0,00:00.0,00:00.0,,31-08-2018 00:00,3.03225,sys2219
94935,,Contract,2015-06-26,6.26,,4.37,NOV-09-2019,JUN-29-2015,,,,JAN-01-2022,JUN-30-2022,CONTRACTS,Active,181.0,00:00.0,00:00.0,,30-06-2022 00:00,6.0,sys1817
